year,month,host,requests
2015,3,as-01,895369
2015,3,as-02,972804
2015,3,as-03,969290
2015,3,as-04,894936
2015,4,as-01,4848222
2015,4,as-02,5275880
2015,4,as-03,5265163
2015,4,as-04,4853454
2015,5,as-01,4664230
2015,5,as-02,5086482
2015,5,as-03,5064067
2015,5,as-04,4664332
2015,6,as-01,6979596
2015,6,as-02,7387040
2015,6,as-03,7262940
2015,6,as-04,6875850
2015,7,as-01,8494917
2015,7,as-02,8765647
2015,7,as-03,8431491
2015,7,as-04,8157460
2015,8,as-01,9752868
2015,8,as-02,9775073
2015,8,as-03,6890932
2015,8,as-04,6874845
2015,9,as-01,9515286
2015,9,as-02,9525695
2015,9,as-03,8687199
2015,9,as-04,8682681
2015,10,as-01,9244206
2015,10,as-02,9243904
2015,10,as-03,10371520
2015,10,as-04,10368118
2015,11,as-01,13906213
2015,11,as-02,13913108
2015,11,as-03,18998173
2015,11,as-04,18991857
2015,12,as-01,37186243
2015,12,as-02,37176905
2015,12,as-03,37211766
2015,12,as-04,37208053
2016,1,as-01,33777241
2016,1,as-02,33790268
2016,1,as-03,33830484
2016,1,as-04,33840283
2016,2,as-01,33460610
2016,2,as-02,33461552
2016,2,as-03,34152136
2016,2,as-04,34165930
2016,3,as-01,37793700
2016,3,as-02,37795785
2016,3,as-03,37825858
2016,3,as-04,37823405
2016,4,as-01,36587355
2016,4,as-02,36583610
2016,4,as-03,36610934
2016,4,as-04,36618743
2016,5,as-01,39281182
2016,5,as-02,39286971
2016,5,as-03,39316255
2016,5,as-04,39314329
2016,6,as-01,37780850
2016,6,as-02,37774086
2016,6,as-03,37814585
2016,6,as-04,37813887
2016,7,as-01,43536451
2016,7,as-02,43540721
2016,7,as-03,43589728
2016,7,as-04,43586166
2016,8,as-01,39149614
2016,8,as-02,39150877
2016,8,as-03,39182197
2016,8,as-04,39192986
2016,9,as-01,36456337
2016,9,as-02,36432428
2016,9,as-03,36379001
2016,9,as-04,36389746
2016,10,as-01,37079981
2016,10,as-02,37078693
2016,10,as-03,37023836
2016,10,as-04,37023381
2016,11,as-01,33116632
2016,11,as-02,33114914
2016,11,as-03,33145437
2016,11,as-04,33142285
2016,12,as-01,34236866
2016,12,as-02,34234495
2016,12,as-03,34271259
2016,12,as-04,34255054
2017,1,as-01,30451495
2017,1,as-02,30448517
2017,1,as-03,30476383
2017,1,as-04,30474090
2017,2,as-01,28628109
2017,2,as-02,28628555
2017,2,as-03,28653112
2017,2,as-04,28650899
2017,3,as-01,32838667
2017,3,as-02,32849123
2017,3,as-03,32866208
2017,3,as-04,32877705
2017,4,as-01,36599403
2017,4,as-02,36601845
2017,4,as-03,36622836
2017,4,as-04,36623876
2017,5,as-01,37126574
2017,5,as-02,37126840
2017,5,as-03,37134452
2017,5,as-04,37139887
2017,6,as-01,35929347
2017,6,as-02,35935136
2017,6,as-03,35932921
2017,6,as-04,35935007
2017,7,as-01,37077263
2017,7,as-02,37074423
2017,7,as-03,45238175
2017,7,as-04,45231775
2017,8,as-01,37448894
2017,8,as-02,37454786
2017,8,as-03,37460360
2017,8,as-04,37460816
2017,9,as-01,28511467
2017,9,as-02,28496897
2017,9,as-03,39152888
2017,9,as-04,39155626
2017,10,as-01,33813027
2017,10,as-02,33818964
2017,10,as-03,33810766
2017,10,as-04,33822421
2017,11,as-01,28412192
2017,11,as-02,28408933
2017,11,as-03,28408993
2017,11,as-04,28412995
2017,12,as-01,29237169
2017,12,as-02,29250343
2017,12,as-03,29854744
2017,12,as-04,29869330
2018,1,as-01,27420028
2018,1,as-02,27422722
2018,1,as-03,27466648
2018,1,as-04,27474700
2018,2,as-01,25169116
2018,2,as-02,25253082
2018,2,as-03,25265862
2018,2,as-04,25313148
2018,3,as-01,30098389
2018,3,as-02,30100170
2018,3,as-03,30126125
2018,3,as-04,30130968
2018,4,as-01,31536052
2018,4,as-02,31698304
2018,4,as-03,31686621
2018,4,as-04,31697844
2018,5,as-01,33066568
2018,5,as-02,33068862
2018,5,as-03,33148666
2018,5,as-04,33149270
2018,6,as-01,32635982
2018,6,as-02,32630815
2018,6,as-03,32633544
2018,6,as-04,32633081
2018,7,as-01,38279341
2018,7,as-02,38284637
2018,7,as-03,38278036
2018,7,as-04,38285953
2018,8,as-01,34744089
2018,8,as-02,34721911
2018,8,as-03,34741620
2018,8,as-04,34724503
2018,9,as-01,31469601
2018,9,as-02,31465419
2018,9,as-03,31677027
2018,9,as-04,31674399
2018,10,as-01,32594482
2018,10,as-02,32588526
2018,10,as-03,32878932
2018,10,as-04,32873541
2018,11,as-01,27121417
2018,11,as-02,26899524
2018,11,as-03,27276513
2018,11,as-04,27226206
2018,12,as-01,27879062
2018,12,as-02,27882650
2018,12,as-03,28114525
2018,12,as-04,28114005
2019,1,as-01,25842260
2019,1,as-02,25842093
2019,1,as-03,25983459
2019,1,as-04,26005813
2019,2,as-01,24324629
2019,2,as-02,24330056
2019,2,as-03,24167292
2019,2,as-04,24154446
2019,3,as-01,26603366
2019,3,as-02,26601632
2019,3,as-03,26601740
2019,3,as-04,26603251
2019,4,as-01,29823236
2019,4,as-02,29833335
2019,4,as-03,29852896
2019,4,as-04,29847342
2019,5,as-01,28665531
2019,5,as-02,28676102
2019,5,as-03,29082311
2019,5,as-04,29087760
2019,6,as-01,30889838
2019,6,as-02,30888004
2019,6,as-03,30889144
2019,6,as-04,30888626
2019,7,as-01,40001059
2019,7,as-02,39999209
2019,7,as-03,40003979
2019,7,as-04,39997572
2019,8,as-01,41313455
2019,8,as-02,41317964
2019,8,as-03,41314954
2019,8,as-04,41315304
2019,9,as-01,30324995
2019,9,as-02,30332121
2019,9,as-03,30326343
2019,9,as-04,30330643
2019,10,as-01,31505143
2019,10,as-02,31502947
2019,10,as-03,31504936
2019,10,as-04,31503180
2019,11,as-01,26352044
2019,11,as-02,26349799
2019,11,as-03,26817832
2019,11,as-04,26820094
2019,12,as-01,28404064
2019,12,as-02,28407017
2019,12,as-03,28403852
2019,12,as-04,28407494
2020,1,as-01,26602032
2020,1,as-02,26601538
2020,1,as-03,26599456
2020,1,as-04,26603764
2020,2,as-01,25243405
2020,2,as-02,25236879
2020,2,as-03,25242689
2020,2,as-04,25237620
2020,3,as-01,23908370
2020,3,as-02,23904506
2020,3,as-03,23908442
2020,3,as-04,23904293
2020,4,as-01,2045586
2020,4,as-02,2049438
2020,4,as-03,2045962
2020,4,as-04,2049326
